"variable","GROUP","concept","value","periode_group","time","siteid"
"D70","NO_ARDS_sup_49","DIAG-ICD10",9,"all","all","FRBDX"
"D70","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D70","OTHERS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"D72","ARDS_18_49","DIAG-ICD10",8,"all","all","FRBDX"
"D72","ARDS_sup_49","DIAG-ICD10",66,"all","all","FRBDX"
"D72","NO_ARDS_18_49","DIAG-ICD10",29,"all","all","FRBDX"
"D72","NO_ARDS_sup_49","DIAG-ICD10",160,"all","all","FRBDX"
"D72","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D72","OTHERS_sup_49","DIAG-ICD10",27,"all","all","FRBDX"
"D73","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D73","NO_ARDS_sup_49","DIAG-ICD10",7,"all","all","FRBDX"
"D75","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D75","NO_ARDS_sup_49","DIAG-ICD10",7,"all","all","FRBDX"
"D76","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D80","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D80","NO_ARDS_sup_49","DIAG-ICD10",9,"all","all","FRBDX"
"D80","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D84","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D84","ARDS_sup_49","DIAG-ICD10",5,"all","all","FRBDX"
"D84","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D84","NO_ARDS_sup_49","DIAG-ICD10",7,"all","all","FRBDX"
"D86","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D86","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"D86","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D86","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D89","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D89","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D89","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D89","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E03","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E03","ARDS_sup_49","DIAG-ICD10",10,"all","all","FRBDX"
"E03","NO_ARDS_18_49","DIAG-ICD10",3,"all","all","FRBDX"
"E03","NO_ARDS_sup_49","DIAG-ICD10",45,"all","all","FRBDX"
"E03","OTHERS_sup_49","DIAG-ICD10",8,"all","all","FRBDX"
"E04","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E04","NO_ARDS_sup_49","DIAG-ICD10",8,"all","all","FRBDX"
"E04","OTHERS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"E05","NO_ARDS_sup_49","DIAG-ICD10",7,"all","all","FRBDX"
"E05","OTHERS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"E06","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E06","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"E10","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E10","ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"E10","NO_ARDS_18_49","DIAG-ICD10",5,"all","all","FRBDX"
"E10","NO_ARDS_sup_49","DIAG-ICD10",5,"all","all","FRBDX"
"E10","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E11","ARDS_18_49","DIAG-ICD10",5,"all","all","FRBDX"
"E11","ARDS_sup_49","DIAG-ICD10",50,"all","all","FRBDX"
"E11","NO_ARDS_18_49","DIAG-ICD10",8,"all","all","FRBDX"
"E11","NO_ARDS_sup_49","DIAG-ICD10",138,"all","all","FRBDX"
"E11","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E11","OTHERS_sup_49","DIAG-ICD10",21,"all","all","FRBDX"
"E13","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E13","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E13","NO_ARDS_sup_49","DIAG-ICD10",15,"all","all","FRBDX"
"E13","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E14","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E14","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E14","NO_ARDS_sup_49","DIAG-ICD10",6,"all","all","FRBDX"
"E16","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E16","ARDS_sup_49","DIAG-ICD10",20,"all","all","FRBDX"
"E16","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E16","NO_ARDS_sup_49","DIAG-ICD10",28,"all","all","FRBDX"
"E16","OTHERS_sup_49","DIAG-ICD10",8,"all","all","FRBDX"
"E20","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E21","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E21","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E21","NO_ARDS_sup_49","DIAG-ICD10",8,"all","all","FRBDX"
"E21","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E22","ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"E22","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E22","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E23","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E23","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E23","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E23","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E27","ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"E27","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E27","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"E43","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E43","ARDS_sup_49","DIAG-ICD10",27,"all","all","FRBDX"
"E43","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E43","NO_ARDS_sup_49","DIAG-ICD10",54,"all","all","FRBDX"
"E43","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"E43","OTHERS_sup_49","DIAG-ICD10",21,"all","all","FRBDX"
